,alcaldia,longitud,latitud,alcaldia_id,año
478,Azcapotzalco,-99.188014,19.488492,002,2020
479,Azcapotzalco,-99.184857,19.491873,002,2020
480,Azcapotzalco,-99.177395,19.492724,002,2020
481,Azcapotzalco,-99.188565,19.490501,002,2020
482,Azcapotzalco,-99.186478,19.489088,002,2020
483,Azcapotzalco,-99.183977,19.488986,002,2020
484,Azcapotzalco,-99.189063,19.497269,002,2020
485,Azcapotzalco,-99.185627,19.487674,002,2020
486,Azcapotzalco,-99.178702,19.491341,002,2020
487,Azcapotzalco,-99.179115,19.495529,002,2020
488,Azcapotzalco,-99.177366,19.494946,002,2020
489,Azcapotzalco,-99.177646,19.493474,002,2020
490,Azcapotzalco,-99.180346,19.496882,002,2020
491,Azcapotzalco,-99.170701,19.463068,002,2020
492,Azcapotzalco,-99.178093,19.496161,002,2020
493,Azcapotzalco,-99.177662,19.483995,002,2020
494,Azcapotzalco,-99.176594,19.485922,002,2020
495,Azcapotzalco,-99.176899,19.484427,002,2020
496,Azcapotzalco,-99.176719,19.485853,002,2020
497,Azcapotzalco,-99.188121,19.497762,002,2020
498,Azcapotzalco,-99.17884,19.483892,002,2020
499,Azcapotzalco,-99.188121,19.497774,002,2020
500,Azcapotzalco,-99.180092,19.490796,002,2020
501,Azcapotzalco,-99.178958,19.491035,002,2020
502,Azcapotzalco,-99.187,19.486,002,2020
503,Gustavo A. Madero,-99.142017,19.544333,005,2020
504,Gustavo A. Madero,-99.09007,19.508215,005,2020
505,Gustavo A. Madero,-99.128127,19.521138,005,2020
506,Gustavo A. Madero,-99.138561,19.53751,005,2020
507,Gustavo A. Madero,-99.129716,19.550232,005,2020
508,Gustavo A. Madero,-99.135356,19.567173,005,2020
509,Gustavo A. Madero,-99.125723,19.5424,005,2020
510,Gustavo A. Madero,-99.1521,19.54013,005,2020
511,Gustavo A. Madero,-99.144463,19.539762,005,2020
512,Gustavo A. Madero,-99.136729,19.563921,005,2020
513,Gustavo A. Madero,-99.128142,19.542889,005,2020
