,alcaldia,latitud,longitud,alcaldia_id,año
350,Milpa Alta,19.19728,-99.049003,9,2022
351,Milpa Alta,19.197798,-98.993364,9,2022
352,Milpa Alta,19.205649,-99.055782,9,2022
353,Milpa Alta,19.191686,-99.090939,9,2022
354,Milpa Alta,19.194244,-99.005121,9,2022
355,Milpa Alta,19.196123,-99.085667,9,2022
356,Milpa Alta,19.19996,-99.053597,9,2022
357,Milpa Alta,19.195633,-99.003218,9,2022
358,Milpa Alta,19.201279,-98.994639,9,2022
359,Milpa Alta,19.175188,-99.036195,9,2022
360,Milpa Alta,19.199303,-99.004782,9,2022
361,Milpa Alta,19.20526,-99.043891,9,2022
362,Milpa Alta,19.219921,-99.001993,9,2022
363,Milpa Alta,19.198991,-99.008316,9,2022
364,Milpa Alta,19.21992,-99.001992,9,2022
365,Milpa Alta,19.180039,-99.033582,9,2022
366,Milpa Alta,19.194774,-99.007586,9,2022
367,Milpa Alta,19.193337,-99.000518,9,2022
368,Milpa Alta,19.201545,-99.048009,9,2022
369,Milpa Alta,19.198366,-99.008074,9,2022
370,Milpa Alta,19.200321,-99.006137,9,2022
371,Milpa Alta,19.199271,-99.005942,9,2022
372,Milpa Alta,19.197841,-99.00548,9,2022
373,Milpa Alta,19.203804,-99.007421,9,2022
374,Milpa Alta,19.197729,-99.008317,9,2022
375,Milpa Alta,19.197218,-99.008271,9,2022
376,Milpa Alta,19.194704,-99.007139,9,2022
377,Milpa Alta,19.199068,-99.010017,9,2022
378,Milpa Alta,19.193519,-99.000008,9,2022
379,Milpa Alta,19.194455,-99.005055,9,2022
380,Milpa Alta,19.195561,-99.00262,9,2022
381,Milpa Alta,19.194433,-99.000876,9,2022
382,Milpa Alta,19.19506,-98.999995,9,2022
383,Milpa Alta,19.188402,-98.998057,9,2022
384,Milpa Alta,19.19431,-99.005916,9,2022
385,Milpa Alta,19.191549,-99.050455,9,2022
386,Milpa Alta,19.199486,-99.053239,9,2022
387,Milpa Alta,19.198784,-99.050786,9,2022
388,Milpa Alta,19.194014,-99.051878,9,2022
389,Milpa Alta,19.194853,-99.035262,9,2022
390,Milpa Alta,19.172443,-98.99655,9,2022
391,Milpa Alta,19.175032,-99.033707,9,2022
392,Milpa Alta,19.196963,-99.084512,9,2022
393,Milpa Alta,19.189538,-99.091226,9,2022
394,Milpa Alta,19.194837,-99.085135,9,2022
395,Milpa Alta,19.189353,-99.095672,9,2022
396,Milpa Alta,19.190162,-99.091255,9,2022
397,Milpa Alta,19.190162,-99.091255,9,2022
398,Milpa Alta,19.203774,-99.007019,9,2022
399,Milpa Alta,19.191561,-99.090856,9,2022
400,Milpa Alta,19.184999,-99.017044,9,2022
401,Milpa Alta,19.194608,-99.006602,9,2022
402,Milpa Alta,19.222469,-98.994408,9,2022
403,Milpa Alta,19.199907,-99.050907,9,2022
404,Milpa Alta,19.194582,-99.021941,9,2022
405,Milpa Alta,19.220253,-98.991942,9,2022
406,Milpa Alta,19.190731,-99.094041,9,2022
407,Milpa Alta,19.194345,-99.021892,9,2022
408,Milpa Alta,19.205254,-99.049477,9,2022
409,Milpa Alta,19.21915,-98.991144,9,2022
410,Milpa Alta,19.225427,-98.99765,9,2022
411,Milpa Alta,19.204047,-99.048692,9,2022
412,Milpa Alta,19.199414,-99.013079,9,2022
413,Milpa Alta,19.196023,-99.098137,9,2022
414,Milpa Alta,19.218116,-98.991204,9,2022
415,Milpa Alta,19.198418,-99.019948,9,2022
416,Tlalpan,19.247215,-99.141422,12,2022
417,Milpa Alta,19.202121,-99.04808,9,2022
418,Milpa Alta,19.222392,-98.994178,9,2022
419,Milpa Alta,19.202287,-99.047812,9,2022
420,Milpa Alta,19.226337,-98.997417,9,2022
421,Milpa Alta,19.195251,-99.020095,9,2022
422,Milpa Alta,19.188956,-99.093727,9,2022
423,Milpa Alta,19.189284,-99.093077,9,2022
424,Milpa Alta,19.226612,-98.997426,9,2022
425,Milpa Alta,19.195438,-99.018498,9,2022
426,Milpa Alta,19.189903,-99.09293,9,2022
427,Milpa Alta,19.19979,-99.021319,9,2022
428,Milpa Alta,19.192476,-99.091949,9,2022
429,Milpa Alta,19.195892,-99.018125,9,2022
430,Milpa Alta,19.199753,-99.021375,9,2022
431,Milpa Alta,19.200437,-99.006315,9,2022
432,Milpa Alta,19.189783,-99.091332,9,2022
433,Milpa Alta,19.200752,-99.005385,9,2022
434,Milpa Alta,19.190858,-99.090807,9,2022
435,Milpa Alta,19.221951,-98.998524,9,2022
436,Milpa Alta,19.199745,-99.021349,9,2022
437,Milpa Alta,19.195978,-99.050606,9,2022
438,Milpa Alta,19.190024,-98.996869,9,2022
439,Milpa Alta,19.20465,-99.070594,9,2022
440,Milpa Alta,19.197045,-99.008094,9,2022
441,Milpa Alta,19.205494,-99.067425,9,2022
442,Milpa Alta,19.21909,-98.990468,9,2022
443,Milpa Alta,19.222627,-98.994441,9,2022
444,Milpa Alta,19.197083,-99.08439,9,2022
445,Milpa Alta,19.200616,-99.007357,9,2022
446,Milpa Alta,19.190208,-99.017692,9,2022
447,Milpa Alta,19.22651,-98.997362,9,2022
448,Milpa Alta,19.189788,-98.997007,9,2022
449,Tlalpan,19.217104,-99.206938,12,2022
450,Milpa Alta,19.222744,-98.995084,9,2022
451,Milpa Alta,19.195547,-99.003098,9,2022
452,Milpa Alta,19.197802,-99.016296,9,2022
453,Milpa Alta,19.191079,-99.088861,9,2022
454,Milpa Alta,19.225839,-98.998463,9,2022
455,Milpa Alta,19.194098,-99.08988,9,2022
456,Milpa Alta,19.19619,-99.00428,9,2022
457,Milpa Alta,19.196255,-99.015999,9,2022
458,Milpa Alta,19.222762,-98.994795,9,2022
459,Milpa Alta,19.19611,-99.007207,9,2022
460,Milpa Alta,19.222728,-98.994803,9,2022
461,Milpa Alta,19.200101,-99.021019,9,2022
462,Milpa Alta,19.225592,-98.999577,9,2022
463,Milpa Alta,19.188043,-98.994107,9,2022
464,Milpa Alta,19.195986,-99.088619,9,2022
465,Milpa Alta,19.200264,-99.020852,9,2022
466,Tlalpan,19.264255,-99.204073,12,2022
467,Milpa Alta,19.219016,-98.991891,9,2022
468,Milpa Alta,19.226083,-98.997912,9,2022
469,Milpa Alta,19.200674,-99.00625,9,2022
470,Milpa Alta,19.218852,-98.992602,9,2022
471,Milpa Alta,19.19541,-99.087478,9,2022
472,Milpa Alta,19.192646,-99.050854,9,2022
473,Milpa Alta,19.225384,-98.999525,9,2022
474,Milpa Alta,19.225394,-98.998239,9,2022
475,Milpa Alta,19.187193,-98.994712,9,2022
476,Milpa Alta,19.187686,-98.992473,9,2022
477,Milpa Alta,19.193295,-99.08959,9,2022
478,Milpa Alta,19.223391,-98.995339,9,2022
479,Milpa Alta,19.200539,-99.053077,9,2022
480,Milpa Alta,19.193468,-99.089706,9,2022
481,Milpa Alta,19.200952,-99.006208,9,2022
482,Milpa Alta,19.200378,-99.02086,9,2022
483,Tlalpan,19.247158,-99.141866,12,2022
484,Milpa Alta,19.222815,-98.995241,9,2022
485,Milpa Alta,19.18901,-98.996478,9,2022
486,Milpa Alta,19.199943,-99.020669,9,2022
487,Milpa Alta,19.225741,-98.997773,9,2022
488,Milpa Alta,19.200671,-99.006252,9,2022
489,Milpa Alta,19.223671,-98.995301,9,2022
490,Milpa Alta,19.195131,-99.006386,9,2022
491,Milpa Alta,19.193167,-99.001996,9,2022
492,Milpa Alta,19.218204,-98.994614,9,2022
493,Milpa Alta,19.193754,-99.021929,9,2022
494,Milpa Alta,19.200325,-99.020939,9,2022
495,Milpa Alta,19.227037,-98.997341,9,2022
496,Milpa Alta,19.192017,-99.091524,9,2022
497,Milpa Alta,19.227089,-98.997293,9,2022
498,Milpa Alta,19.193754,-99.021929,9,2022
499,Milpa Alta,19.195085,-99.087338,9,2022
500,Tlalpan,19.266206,-99.201328,12,2022
501,Milpa Alta,19.197552,-99.004539,9,2022
502,Milpa Alta,19.223819,-98.995373,9,2022
503,Milpa Alta,19.224215,-98.995708,9,2022
504,Milpa Alta,19.20054,-99.020754,9,2022
505,Milpa Alta,19.223678,-98.997292,9,2022
506,Milpa Alta,19.19066,-99.089683,9,2022
507,Milpa Alta,19.200112,-99.020904,9,2022
508,Milpa Alta,19.200177,-99.020921,9,2022
509,Milpa Alta,19.19495,-99.086498,9,2022
510,Milpa Alta,19.193936,-99.007732,9,2022
511,Milpa Alta,19.189408,-99.096729,9,2022
512,Milpa Alta,19.209983,-99.039242,9,2022
513,Milpa Alta,19.195102,-99.016839,9,2022
514,Milpa Alta,19.194753,-99.001479,9,2022
515,Milpa Alta,19.195381,-99.020786,9,2022
516,Milpa Alta,19.214091,-99.057579,9,2022
517,Tlalpan,19.253173,-99.18917,12,2022
518,Milpa Alta,19.190187,-99.09443,9,2022
519,Milpa Alta,19.200596,-99.006265,9,2022
520,Milpa Alta,19.201583,-99.018063,9,2022
521,Milpa Alta,19.198948,-99.050732,9,2022
522,Milpa Alta,19.197647,-99.051751,9,2022
523,Milpa Alta,19.194382,-99.017011,9,2022
524,Milpa Alta,19.197231,-98.999541,9,2022
525,Milpa Alta,19.192011,-99.094189,9,2022
526,Milpa Alta,19.194014,-99.051878,9,2022
527,Milpa Alta,19.197562,-99.015723,9,2022
528,Milpa Alta,19.18771,-99.018486,9,2022
529,Milpa Alta,19.194335,-99.001519,9,2022
530,Milpa Alta,19.202663,-99.017529,9,2022
531,Milpa Alta,19.197767,-99.054213,9,2022
532,Milpa Alta,19.170458,-99.030992,9,2022
533,Milpa Alta,19.196341,-99.017232,9,2022
534,Tlalpan,19.26199,-99.180947,12,2022
